   48     0.649   -27.163694251  8557.781469179   125.871241053     0.005502634     0.399952310     0.216487710    15.583992134    274    -1.346048533     28     144.481     271.496 / 290.586
   49     0.661   -27.198296607  8568.740714874   125.753334227     0.002778066     0.199980705     0.218126184    15.578043713    279    -1.313899888     29     147.387     278.551 / 297.684
   50     0.674   -27.231993733  8579.867039306   125.636509730     0.005578218     0.399956506     0.219717626    15.571308877    285    -1.282661395     29     150.813     278.492 / 297.684
   51     0.687   -27.264812353  8591.158557012   125.520747902     0.002821802     0.199980093     0.221263882    15.563958253    290    -1.252304243     30     154.202     276.750 / 304.789
   52     0.700   -27.296777117  8602.612750094   125.406022598     0.005664795     0.399955264     0.222766676    15.556137731    296    -1.222801570     30     157.419     279.848 / 304.801
   53     0.713   -27.327912397  8614.227516808   125.292316549     0.002863742     0.199979496     0.224227716    15.548031511    301    -1.194127145     31     160.393     292.320 / 312.051
   54     0.726   -27.358240648  8626.000136271   125.179606466     0.005747760     0.399953980     0.225648599    15.539797059    307    -1.166256535     31     163.612     292.832 / 312.113
   55     0.739   -27.387784130  8637.928255927   125.067877477     0.002903832     0.199978918     0.227030910    15.531636919    312    -1.139165816     32     166.329     299.867 / 319.035
   56     0.751   -27.416563313  8650.008910908   124.957109149     0.005826978     0.399952653     0.228376134    15.523724538    318    -1.112832732     32     169.332     299.965 / 319.137
   57     0.764   -27.444598546  8662.239455324   124.847289079     0.002941967     0.199978361     0.229685747    15.516285948    323    -1.087235430     33     171.993     301.332 / 326.094
   58     0.777   -27.471908496  8674.616631191   124.738399753     0.005902213     0.399951280     0.230961133    15.509515361    329    -1.062353621     33     175.263     301.961 / 326.367
   59     0.790   -27.498511770  8687.137448021   124.630431371     0.002977985     0.199977828     0.232203669    15.503667888    334    -1.038167324     34     178.054     309.324 / 333.316
   60     0.803   -27.524425379  8699.798296680   124.523369461     0.005973111     0.399949858     0.233414646    15.498963778    340    -1.014658034     34     181.694     314.699 / 333.543
   61     0.816   -27.549666339  8712.595781348   124.417207010     0.003011662     0.199977323     0.234595353    15.495693417    345    -0.991807469     35     184.364     321.336 / 340.676
   62     0.829   -27.574250136  8725.525874049   124.311932773     0.006039187     0.399948387     0.235746996    15.494109059    351    -0.969598753     35     187.497     321.531 / 340.730
   63     0.842   -27.598192317  8738.584702728   124.207542760     0.003042701     0.199976854     0.236870779    15.494543507    356    -0.948015152     36     190.214     328.473 / 347.730
   64     0.855   -27.621506957  8751.767742447   124.104029186     0.006099811     0.399946865     0.237967829    15.497288191    362    -0.927041284     36     193.586     324.441 / 347.730
