 -58915.30 -66415.30 -71215.30 -73916.20 -74602.80 -73238.00 -70231.00 -65126.20
 -57832.20
a= 78  z= 30 to  38
 -57962.70 -63972.70 -71862.70 -72815.00 -77029.20 -73455.40 -74150.10 -67126.30
 -63650.10
a= 79  z= 31 to  39
 -62755.40 -69525.40 -73635.40 -75920.20 -76069.60 -74438.90 -70913.10 -65760.70
 -58313.10
a= 80  z= 31 to  39
 -59486.90 -69486.90 -72176.10 -77760.90 -75890.60 -77894.10 -72187.30 -70190.20
 -61490.20
a= 81  z= 31 to  40
 -57974.70 -66294.70 -72524.70 -76390.70 -77978.00 -77697.20 -75460.30 -71470.30
 -65955.30 -58795.30
a= 82  z= 32 to  40
 -65372.60 -70072.60 -77591.20 -77499.60 -80592.10 -76208.40 -75997.60 -68177.60
 -64177.60
a= 83  z= 33 to  40
 -69877.90 -75337.90 -79004.90 -79982.30 -79019.50 -76766.10 -72355.10 -66346.10
a= 84  z= 33 to  41
 -66175.40 -75947.40 -77775.40 -82429.70 -79747.80 -80640.60 -74170.60 -71440.60
 -79399.50
a= 85  z= 34 to  41
 -72417.20 -78607.20 -81477.20 -82164.60 -81096.10 -77836.10 -73146.10 -66736.10
a= 86  z= 34 to  41
 -70541.80 -75641.80 -83261.80 -82743.50 -84517.40 -79277.40 -77977.40 -69577.40
a= 87  z= 35 to  42
 -73875.80 -80705.80 -84591.90 -84874.20 -83013.10 -79347.10 -74178.10 -67440.10
a= 88  z= 35 to  42
 -70716.70 -79686.70 -82597.50 -87915.80 -84293.20 -83625.10 -76425.10 -72825.10
a= 89  z= 35 to  42
 -68218.10 -76718.10 -81708.10 -86208.70 -87700.70 -84866.80 -80623.10 -75004.80
a= 90  z= 35 to  43
 -64263.80 -74963.80 -79353.80 -85940.20 -86486.40 -88769.20 -82658.20 -80171.20
 -70971.20
a= 91  z= 36 to  43
 -71385.00 -77805.00 -83664.50 -86349.10 -87894.20 -86639.10 -82200.60 -75978.60
a= 92  z= 36 to  44
 -68663.40 -74823.40 -82943.90 -84835.50 -88458.00 -86452.00 -86809.00 -78937.50
 -74409.00
a= 93  z= 36 to  44
 -64110.50 -72640.50 -80105.60 -84231.80 -87120.70 -87210.70 -86804.80 -83612.00
 -77292.00
a= 94  z= 37 to  45
 -68649.00 -78837.90 -82349.50 -87269.00 -86368.90 -88414.00 -84158.00 -82563.30
 -72963.30
a= 95  z= 37 to  45
 -65728.40 -75043.70 -81215.10 -85660.30 -86784.30 -87709.90 -86018.30 -83445.80
 -78335.80
a= 96  z= 37 to  46
 -61136.10 -72906.70 -78320.10 -85443.00 -85605.80 -88792.80 -85819.60 -86067.40
 -79625.90 -76367.40
a= 97  z= 37 to  46
 -58151.10 -68763.90 -76252.90 -82950.80 -85609.00 -87542.80 -87222.50 -86107.50
 -82597.50 -77797.50
a= 98  z= 37 to  47
 -54059.60 -66539.10 -72400.00 -81290.80 -83528.70 -88113.90 -86430.60 -88225.40
 -83168.00 -81295.40 -72668.00
a= 99  z= 37 to  47
 -50556.60 -62271.30 -70201.30 -77771.30 -82331.30 -85968.10 -87325.10 -87618.70
 -85526.40 -82164.10 -76734.10
a=100  z= 38 to  48
 -60253.00 -66853.00 -76653.00 -79983.00 -86188.40 -86018.10 -89220.60 -85590.60
 -85207.10 -78132.10 -74107.10
a=101  z= 39 to  49
 -64386.20 -73106.20 -78886.20 -83516.20 -86326.40 -87950.80 -87413.30 -85431.30
 -81221.30 -75691.30 -69361.80
a=102  z= 40 to  50
 -71761.50 -76351.50 -83561.50 -84600.10 -89099.70 -86763.60 -87902.60 -82022.60
 -79602.60 -70422.60 -64902.60
a=103  z= 40 to  50
 -67619.10 -75119.10 -80619.10 -84619.10 -87260.80 -88027.40 -87455.10 -84785.10
 -80619.40 -74419.40 -67019.40
a=104  z= 41 to  51
 -71776.10 -80476.10 -82476.10 -88096.10 -86955.10 -89395.40 -85116.70 -83990.40
 -75990.40 -71590.40 -59290.40
a=105  z= 41 to  51
 -69734.80 -76734.80 -82234.80 -85934.80 -87851.60 -88418.10 -87075.90 -84336.90
 -79536.90 -73274.70 -64036.90
a=106  z= 42 to  52
 -76429.00 -79629.00 -86329.00 -86368.40 -89908.80 -86943.90 -87131.50 -80586.50
 -77286.50 -66386.50 -58155.00
a=107  z= 42 to  52
 -72513.90 -78863.90 -83713.90 -86863.90 -88373.90 -88407.10 -86990.10 -83570.10
 -78390.10 -70670.10 -60612.30
a=108  z= 43 to  53
 -76020.60 -83820.60 -85020.60 -89520.60 -87605.30 -89259.60 -84129.60 -82081.60
 -72629.60 -65738.40 -52765.50
a=109  z= 43 to  53
 -74919.10 -80819.10 -85019.10 -87603.20 -88719.10 -88535.20 -86505.60 -82629.20
 -76249.20 -67652.60 -57812.20
a=110  z= 44 to  54
 -80436.30 -82936.30 -88336.30 -87456.90 -90350.30 -86410.30 -85830.10 -77430.10
 -72138.40 -60387.40 -51851.90
a=111  z= 44 to  54
 -76917.10 -82417.10 -86017.10 -88217.10 -89254.10 -88391.30 -85939.30 -80739.30
 -73471.10 -64975.10 -54483.70
a=112  z= 45 to  54
 -79728.00 -86328.00 -86621.50 -90581.00 -87993.10 -88654.20 -81594.20 -77341.90
 -67217.70 -59994.80
a=113  z= 45 to  54
 -78841.30 -83681.30 -87041.30 -89051.30 -89367.60 -88328.40 -84439.20 -78339.20
 -71118.40 -62132.90
a=114  z= 46 to  55
 -83573.00 -85023.00 -90023.00 -88570.80 -90556.80 -84464.10 -81764.10 -72864.10
 -66913.50 -54605.50
a=115  z= 46 to  55
 -80394.80 -84954.80 -88094.80 -89535.70 -90031.50 -87001.50 -82251.50 -76301.50
 -68675.10 -59550.10
a=116  z= 46 to  55
 -79906.70 -82521.70 -88721.70 -88248.60 -91522.80 -86816.20 -85256.20 -77496.20
 -72996.20 -61912.50
a=117  z= 47 to  56
 -82247.90 -86417.90 -88943.00 -90396.20 -88640.30 -85110.30 -80800.30 -74367.20
 -66234.70 -56907.20
a=118  z= 47 to  56
 -79580.80 -86710.80 -87451.30 -91651.30 -87994.70 -87645.40 -81245.40 -78045.40
 -68268.20 -61945.40
a=119  z= 47 to  56
 -78569.50 -83939.50 -87729.50 -90065.30 -89472.00 -87178.00 -83808.00 -78818.00
 -72186.50 -63956.40
a=120  z= 47 to  56
 -75766.90 -83976.90 -85801.20 -91101.20 -88420.60 -89378.50 -83978.50 -82028.50
 -73806.10 -68506.10
a=121  z= 47 to  56
 -74490.80 -80880.80 -85840.80 -89201.20 -89588.80 -88540.10 -86261.40 -82458.90
 -77058.40 -70139.50
a=122  z= 48 to  56
 -80577.30 -83577.30 -89945.90 -88323.80 -90305.30 -86071.30 -85344.50 -77962.80
 -74162.80
a=123  z= 49 to  56
 -83421.30 -87820.80 -89219.10 -89167.00 -87935.50 -85256.80 -81136.70 -75456.80
a=124  z= 49 to  56
 -80631.40 -88240.00 -87615.20 -90520.10 -87363.10 -87462.70 -81689.40 -78789.40
a=125  z= 49 to  56
 -80421.20 -85901.20 -88253.50 -89020.40 -88842.20 -87159.50 -84102.50 -79522.50
a=126  z= 49 to  56
 -77903.60 -86023.60 -86401.60 -90062.80 -87907.00 -89157.80 -84327.80 -82557.80
a=127  z= 49 to  57
 -77009.80 -83499.80 -86700.80 -88281.80 -88978.40 -88314.80 -86209.70 -82759.70
 -77959.70
a=128  z= 49 to  57
 -73959.40 -83309.40 -84599.40 -88989.40 -87732.70 -89861.00 -85933.70 -85480.70
 -78580.70
a=129  z= 49 to  57
 -73027.90 -80627.90 -84627.90 -87004.90 -88504.00 -88697.10 -87525.10 -85096.50
 -81376.50
a=130  z= 49 to  58
 -69985.10 -80185.10 -82325.10 -87345.10 -86896.90 -89880.90 -86862.70 -87301.80
 -81601.80 -79301.80
a=131  z= 49 to  58
 -68548.30 -77368.30 -82013.30 -85203.30 -87452.30 -88423.10 -88069.90 -86708.10
 -83748.10 -79848.10
a=132  z= 50 to  59
 -76604.50 -79684.50 -85214.50 -85707.50 -89287.50 -87186.60 -88455.40 -83745.40
 -82445.40 -75245.40
a=133  z= 51 to  59
 -78985.30 -82935.30 -85906.60 -87666.60 -88093.90 -87573.40 -85573.40 -82573.40
 -77973.40
a=134  z= 51 to  60
 -74004.70 -82414.70 -83974.70 -88124.70 -86914.30 -88972.80 -85272.80 -84872.80
 -78772.80 -76002.80
a=135  z= 52 to  60
 -77840.90 -83800.90 -86511.30 -87670.00 -87874.60 -86674.60 -84658.60 -81098.60
 -76298.60
a=136  z= 52 to  61
 -74411.10 -79506.10 -86431.10 -86361.80 -88910.30 -86040.30 -86496.70 -81401.70
 -79190.70 -71301.70
a=137  z= 53 to  61
 -76500.20 -82385.20 -86564.40 -87737.70 -87128.80 -85906.80 -83204.80 -79400.80
 -74300.80
a=138  z= 53 to  62
 -72342.30 -80162.30 -82902.30 -88277.70 -86531.70 -87575.40 -83138.40 -82038.40
 -75038.40 -71538.40
a=139  z= 53 to  62
 -68881.40 -75696.40 -80716.40 -84929.70 -87238.30 -86973.30 -84844.30 -82044.30
 -77594.30 -71964.30
a=140  z= 54 to  63
 -73016.60 -77076.60 -83294.30 -84328.30 -88089.10 -84701.10 -84482.00 -78442.00
 -75442.00 -67042.00
a=141  z= 54 to  63
 -68362.50 -74512.50 -79768.70 -82999.50 -85446.20 -86027.50 -84213.30 -80495.30
 -75941.00 -69911.00
a=142  z= 54 to  64
 -65532.80 -70572.80 -77895.00 -80024.90 -84541.70 -83799.70 -85960.10 -81067.80
 -78984.90 -71484.90 -67284.90
a=143  z= 55 to  64
 -67790.00 -74069.10 -78318.10 -81615.30 -83076.90 -84011.30 -82968.10 -79525.10
 -74425.10 -68525.10
a=144  z= 55 to  65
 -63416.00 -71917.80 -74879.50 -80441.10 -80759.60 -83756.50 -81423.30 -81973.00
 -75645.30 -71945.30 -62945.30
a=145  z= 55 to  65
 -60231.00 -68031.60 -72971.30 -77091.50 -79635.10 -81440.70 -81279.40 -80658.70
 -77938.70 -72868.70 -66238.70
a=146  z= 55 to  66
 -55892.00 -65288.90 -69540.20 -75772.10 -76786.30 -80934.10 -79452.30 -80994.30
 -77122.30 -76102.80 -67822.30 -63022.30
a=147  z= 55 to  66
 -52630.80 -61312.00 -67412.00 -72162.00 -75472.00 -78155.00 -79050.40 -79275.10
 -77552.40 -75469.30 -70852.40 -64469.30
a=148  z= 56 to  67
 -59006.80 -63906.80 -70406.80 -72456.80 -77416.80 -76872.80 -79345.30 -76221.70
 -76276.80 -70646.80 -67796.80 -58346.80
a=149  z= 57 to  67
 -62387.20 -67487.20 -70987.20 -74384.30 -76072.60 -77145.70 -76451.30 -75130.30
 -71436.20 -67836.20 -61536.20
a=150  z= 58 to  68
 -65612.80 -68692.80 -73692.80 -73605.90 -77059.90 -74765.60 -75774.80 -71117.40
 -69327.70 -62017.40 -57987.40
a=151  z= 59 to  69
